940@1@Jaula Loros 1892@PAJAROS|Jaulas|Jaulas loros y cotorras@304@1@45.6@<br /><br />Voltrega es un líder indiscutible del sector del animal de compañia. Lo que empezó como una pequeña empresa familiar es ahora una de las empresas europeas lider como fabricante de jaulas y habitaculos pájaros, roedores y demas animales de compañia exportando a una gran variedad de paises y teniendo en la actualidad, quizás, el mas amplio de los catalogos actuales de jaulas.<br /><br />Para Voltrega, el futuro es la oportunidad de diferenciarse, ser competitivos y crecer.<br /><br />- Garantizan la calidad con su sistema de trazabilidad. Revolucionan la logistica de sus almacenes y la producción con recientes cambios tecnologicos.<br /><br />- La innovación en su empresa les permite desmarcarse de la competencia.<br /><br />- Voltrega pone al alcance de todos sus clientes su ultimos modelos, su innovación para así poder compartir con ellos el éxito.<br /><br />CARACTERÍSTICAS de la pajarera  V1892G:<br /><br />- Color: Gris.<br /><br />- Medidas jaula: 100 x 75 x 156 cm<br /><br />- Comederos exteriores e interiores y saltadores.<br /><br />- Color cromado, madera y ruedas.<br /><br />- Incluye: 5 comederos   2 saltadores   bandeja extraible inferior y superior   rueda   puente.<br /><br />- Fabricación nacional de alta calidad y resistencia.@http://casadelave-tiendaonline.com/wordpress/wp-content/uploads/2015/03/892G.jpg
942@1@Cadena de madera con frutas@PAJAROS|Alimentación y Vitaminas|Snacks y premios@9.5@0@@Combinación de piezas de fruta extra grandes madurada al sol, con trozos de madera natural.<br /><br />Actividad duradera con juego y diversión incluidas.<br /><br />Alimento complementario para periquitos grandes y loros.@http://casadelave-tiendaonline.com/wordpress/wp-content/uploads/2015/03/imagenGTPU9PD6.jpg
944@1@Tronco madera relleno@PAJAROS|Alimentación y Vitaminas|Snacks y premios@10@0@@Rollo de madera natural relleno con una deliciosa mezcla de coco y zanahoria.<br /><br />Actividad duradera con juego y diversión incluidos.<br /><br />Alimento complementaria para periquitos y loros grandes@http://casadelave-tiendaonline.com/wordpress/wp-content/uploads/2015/03/imagen.jpg
969@1@Clicker@PAJAROS|Juguetes|Juguetes Educativos@5.9@0@@<p align=LEFT>El clicker es una cajita equipada de una hoja que produce un sonido seco y preciso, el famoso click. Es un accesorio imprescindible para educar a un loro o un periquito con la técnica del El adiestramiento con clicker.<br />El principio general del adiestramiento con clicker es reforzar positivamente las acciones o comportamientos que queremos desarrollar con nuestro loro.<br />Esta técnica se ha utilizado durante décadas en los EE.UU. para la educación de todos los tipos de animales. Y los resultados son espectaculares.</p><br />La idea es muy simple: el ruido emitido por el clicker es un marcador inmediato de buen comportamiento. Se va a crear un puente, un vínculo muy fuerte entre lo correcto y la recompensa.<br />El ave asociará rápidamente el sonido del clicker con la recompensa y multiplica la intensidad de su motivación !<br /><br />El método es el siguiente :<br /><p align=LEFT>Inicialmente, debe asociar el sonido del clicker con la recompensa. Se le dará una recompensa (por ejemplo, una cuarta parte de las semillas de girasol sin cáscara o cualquier otro alimento) y haga clic justo después. Hacerlo repetitivamente unas veinte veces seguida. Este video enseña este primero paso.</p><br />Luego, identifique un gesto o un comportamiento que quiere desarrollar. Decir una palabra, levantar la pata, girar la cabeza, también la formación del Step up, de la llamada, etc<br /><p align=LEFT>Dele una orden, por ejemplo, Gira, si el ave responde positivamente, haga clic de inmediato, entonces lo recompensará.</p><br /><p align=LEFT>Por lo general, sin clicker pasan varios segundos entre la ''acción correcta'' y la entrega de la recompensa. Por eso, de pronto, el ave puede no relacionar la recompensa con sus acciones.</p><br /><p align=LEFT>El clicker permite marcar inmediatamente el momento ... y de asociarlo con una recompensa que llega justo después. Mire este vídeo (en inglés), pero que enseña la buena ''secuencia''. La joven, primero le pide a su loro (Eclectus) de decir ''hola'', lo que hace el loro. Un toque inmediato con el clicker y una recompensa. Lo mismo con todas las ordenes siguientes.</p><br /><p lang=es-ES>Usted notará, en este vídeo, que la recompensa no es sistemáticamente un alimento. Un besito puede ser suficiente!</p><br />Por cierto, nosotros mismos hemos educado a algunos loros (un guacamayo Ararauna en particular) sin ningún tipo de recompensa comestible, pero sólo dándole besos, caricias, y felicitándole con muchos halagos.<br /><p lang=es-ES align=LEFT>Lo que demuestra hasta que punto los pericos o loros son receptivos a todo tipos de estímulos.</p><br /><p lang=es-ES align=LEFT>También notará que la recompensa puede llegar después de varios golpes de clicker. La recompensa llega en ese momento para finalizar una secuencia de varias tareas encomendadas.</p><br /><p lang=es-ES align=LEFT>El clicker es útil en el contexto del aprendizaje. Una vez que el gesto o el comportamiento está aprendido, ya no es necesario.</p><br /><p lang=es-ES>Mire este vídeo que muestra cómo se puede desarrollar un comportamiento utilizando la técnica del Clicker training . Es en este caso se trata de un perro, pero el principio es exactamente el mismo para todos los animales.</p><br /><p lang=es-ES>Este perro aprenderá a cerrar un cajón, sin ningún ejercicio anterior, y sin decir ni una palabra. El clicker es la única fuente de información.</p><br />En un primer momento, la joven disparará el clic cada vez que el perro va a colocar la cabeza en la dirección del cajón abierto. El clic está siempre asociado con una recompensa, por supuesto.<br /><p lang=es-ES>Seguidamente, dispara el clic cada vez que el perro se acerca al cajón. El perro va a entender poco a poco que el clic tiene algo que ver con el cajón abierto. Entonces la joven hace clic solamente, cada vez que el perro va a tocar la parte delantera del cajón abierto. Después de 6 minutos, el perro comienza a empujar el cajón. Obviamente está recompensado.<br />7 minutos más tarde, el perro cierra el cajón!<br />Este ejercicio es realmente sorprendente y debe inspirarnos para la educación de nuestras aves.</p><br /><br /><p lang=es-ES></p>@http://casadelave-tiendaonline.com/wordpress/wp-content/uploads/2015/03/clicker_545x417.jpg|http://casadelave-tiendaonline.com/wordpress/wp-content/uploads/2015/03/clicker_2_545x417.jpg
974@1@Sleepy Small@PAJAROS|Juguetes|Refugios y saquitos@10.5@0@@Una adorable carpita de fieltro para albergar periquitos a la hora de la siesta...<br />Es adecuada para pericos ondulados, pericos catarina, touit, etc...<br /><br />Colores: verde, marrón, naranja, sujeto a disponibilidad.@http://casadelave-tiendaonline.com/wordpress/wp-content/uploads/2015/03/20100503103012.jpg
977@1@Sleepy Medium@PAJAROS|Juguetes|Refugios y saquitos@15@0@@Una adorable carpita de fieltro para albergar periquitos a la hora de la siesta...<br />Es adecuada para inseparables, cacatúa ninfa, conuros, youyou senegalés, etc...<br /><br />Colores: verde, marrón, naranja, sujeto a disponibilidad.@http://casadelave-tiendaonline.com/wordpress/wp-content/uploads/2015/03/20110422154241.jpg
978@1@Jungle Canopy small@PAJAROS|Juguetes|Refugios y saquitos@13@0@@El Jungle Canopy es una adorable percha que permitirá a su pájaro reposarse cubierto, luego de haber terminado su siesta podrá mantenerse ocupado con los juguetes enganchados en la percha.<br /><br />El Jungle Canopy es adecuado para pájaros del tipo periquito, inseparable, cacatúa ninfa, kakariki, cotorras...@http://casadelave-tiendaonline.com/wordpress/wp-content/uploads/2015/03/20120301102601.jpg
983@1@Jungle Canopy medium@PAJAROS|Juguetes|Refugios y saquitos@15.5@0@@La Jungle Canopy es una adorable percha que permitirá a su pájaro descansar a cubierto, una vez que haya terminado su siesta podrá ocuparse con los juguetes sujetos a la percha.<br /><br />La Jungle Canopy medium es adecuada para pájaros como el periquito multicolor, cotorra de collar, periquito Pennant, cotorra gris, cotorra del sol, cotorra de jendaya...<br /><br />Colores sujetos a disponibilidad.@http://casadelave-tiendaonline.com/wordpress/wp-content/uploads/2015/03/201203020824281.jpg
984@1@Reversible Snugglie small@PAJAROS|Juguetes|Refugios y saquitos@12@0@@Una pequeña carpa muy suave para su pájaro. El fondo rígido de la Reversible Snugglie asegura la estabilidad. Gracias a la Reversible Snugglie usted podrá cambiar el decorado de su carpa de acuerdo a su humor: más bien liso o más bien florido, ¡usted elige!<br /><br />La Reversible Snugglie small es adecuada para los pájaros como el periquito ondulado, inseparable, cacatúa ninfa, kakariki...<br /><br />Colores según disponibilidad.@http://casadelave-tiendaonline.com/wordpress/wp-content/uploads/2015/03/201203010250441.jpg|http://casadelave-tiendaonline.com/wordpress/wp-content/uploads/2015/03/201203010250452.jpg
988@1@Tropical Snugglie small@PAJAROS|Juguetes|Refugios y saquitos@12@0@@Su pájaro apreciará la calma de una siesta exótica, acurrucado en su tienda de campaña Tropical Snugglie small. El fondo rígido asegura la estabilidad.<br /><br />Tropical Snugglie small es adecuado para pájaros como el periquito ondulado, inseparable, cacatúa ninfa, kakariki...<br /><br />Colores sujetos a disponibilidad.@http://casadelave-tiendaonline.com/wordpress/wp-content/uploads/2015/03/201202291156571.jpg
